name,spec,price,link
Former farm cottage and shared pool Riberac - PC004846_D,"Bedrooms 3, Sleeps 4, Ratings 3 9.2/10",£450 to £800 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004846_D/index.htm
"Holiday cottage with shared pool, Brittany - BM006538","Bedrooms 3, Sleeps 6, Ratings 1 9.3/10",£420 to £700 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006538/index.htm
Holiday cottage for 4 in rural Normandy - NM005381,"Bedrooms 2, Sleeps 4, Ratings 3 10/10",£475 to £795 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005381/index.htm
Holiday gite for 6 with pool near Riberac - AD006496_B,"Bedrooms 3, Sleeps 6",£600 to £950 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006496_B/index.htm
Beautiful Gite to let in Roche en Regnier - OH005166,"Bedrooms 1, Sleeps 4, Ratings 2 10/10",£360 to £425 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/OH005166/index.htm
200yr Old Farmhouse for Holidays in Menigoute - PS004859,"Bedrooms 2, Sleeps 7, Ratings 2 9.5/10",£430 to £875 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS004859/index.htm
"Beautiful gite with shared pool to let, Aude - RA006797","Bedrooms 2, Sleeps 4",£735 to £1055 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA006797/index.htm
Holiday villa with pool Landes - AL004967,"Bedrooms 4, Sleeps 8",£3000 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AL004967/index.htm
Spacious Farmhouse rental in rural Normandy - NC006221,"Bedrooms 5, Sleeps 14, Ratings 2 9.8/10",£1300 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC006221/index.htm
Holiday cottage rental in Brittany - BN000920_C,"Bedrooms 5, Sleeps 13, Ratings 2 9.8/10",£1300 to £2150 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN000920_C/index.htm
Breton holiday home to rent near Guingamp - BN002331,"Bedrooms 3, Sleeps 6, Ratings 5 9.8/10",£425 to £595 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN002331/index.htm
Roomy rural gite to let with pool nr Marmande - AT006567,"Bedrooms 2, Sleeps 4, Ratings 3 10/10",£480 to £920 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006567/index.htm
Farmhouse & pool for holiday lets in Manche - NM001697,"Bedrooms 6, Sleeps 14, Ratings 1 10/10",£1300 to £4280 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM001697/index.htm
"Modern holiday gite with pool, near Monpazier - AT006120","Bedrooms 2, Sleeps 4, Ratings 9 10/10",£400 to £600 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006120/index.htm
Family gite to let on complex nr La Rochelle - PM005762,"Bedrooms 2, Sleeps 5",£300 to £900 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005762/index.htm
"Holiday cottage, hot tub & sauna in Brittany - BN006910","Bedrooms 2, Sleeps 4",£365 to £595 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN006910/index.htm
Farmhouse to let with private pool nr Saintes - PM002156,"Bedrooms 5, Sleeps 10, Ratings 5 9.7/10",£895 to £1975 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002156/index.htm
"Characterful holiday gite & pool, Aquitaine - AT007452","Bedrooms 3, Sleeps 6",£650 to £1100 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT007452/index.htm
"Rural Cosy Cottage for 2 nr Dinan, Brittany - BN006445","Bedrooms 1, Sleeps 2",£400 to £450 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN006445/index.htm
Holiday farmhouse - walk to St Jean de Cole - AD004519,"Bedrooms 2, Sleeps 4, Ratings 8 9.8/10",£525 to £730 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004519/index.htm
